"age","race_white","gender_male","education","income","ideology_con","partyid_rep","vote_rep","voted"
36,1,1,3,3,4,2,NA,0
69,0,1,2,2,7,1,NA,0
45,1,1,3,3,4,5,1,1
19,0,0,5,4,5,4,0,1
76,0,0,5,2,3,1,0,1
64,0,0,1,1,4,2,0,1
76,0,0,7,2,2,1,0,1
19,0,0,2,2,4,2,0,1
64,1,1,3,2,6,7,1,1
39,1,1,2,1,4,3,NA,0
32,1,0,5,3,2,2,0,1
22,1,0,3,2,4,7,NA,0
46,1,1,2,3,4,2,NA,0
45,1,0,5,3,7,1,NA,0
0,1,0,1,1,4,2,NA,1
24,1,1,2,1,4,3,NA,0
48,1,0,2,1,4,3,NA,0
48,1,0,5,4,6,7,1,1
65,1,1,3,2,4,4,0,1
26,1,0,3,3,5,1,0,1
77,1,1,7,1,4,5,0,1
66,1,0,5,3,4,5,0,1
73,1,0,2,2,4,2,NA,0
52,1,0,7,3,6,7,1,1
62,1,0,6,3,4,1,0,1
45,1,0,5,1,3,6,1,1
39,1,0,5,3,5,5,1,1
44,1,0,6,3,4,3,0,1
31,1,1,5,4,4,6,NA,0
37,1,0,6,3,4,3,0,1
50,1,0,6,3,4,3,0,1
69,0,0,1,3,4,7,NA,0
28,0,0,3,3,6,1,1,1
86,0,1,3,3,6,7,NA,0
61,0,0,6,4,6,6,1,1
62,0,0,5,5,4,6,1,1
52,0,0,5,3,4,2,0,1
71,0,0,1,3,4,7,1,1
21,0,0,5,3,4,4,0,1
42,0,1,3,5,5,7,1,1
79,0,1,1,1,4,4,NA,0
77,0,0,1,3,4,4,NA,0
68,0,0,1,1,5,7,NA,0
65,0,0,3,2,6,4,1,1
74,0,0,3,1,4,1,0,1
28,0,0,3,2,4,4,NA,0
24,0,1,5,3,4,6,NA,0
60,0,1,2,3,2,1,0,1
44,0,1,5,3,6,7,1,1
85,0,1,3,3,6,7,NA,0
50,1,1,6,1,2,2,0,1
46,0,0,5,3,2,3,0,1
19,0,1,5,3,4,3,NA,0
53,0,1,5,4,7,6,1,1
37,0,1,5,3,2,5,1,1
26,0,1,5,3,4,6,1,1
83,0,0,5,2,6,5,NA,0
55,0,0,5,2,4,7,1,1
66,0,0,6,3,1,1,0,1
34,0,1,6,3,4,1,0,1
75,0,0,1,2,7,7,1,1
87,0,1,1,3,6,7,1,1
20,1,0,3,2,4,3,0,1
31,1,1,5,3,4,4,1,1
53,1,1,5,3,4,5,NA,0
78,0,0,1,2,6,2,0,1
73,1,0,6,3,5,7,1,1
81,1,0,2,3,6,7,1,1
87,1,1,3,3,5,3,NA,0
78,1,1,3,3,7,7,1,1
31,1,1,2,3,4,3,NA,0
46,1,1,7,3,4,5,1,1
37,1,1,6,3,5,7,0,1
32,0,0,2,1,4,1,0,1
64,1,1,3,1,4,3,0,1
65,1,0,2,1,4,4,0,1
81,1,0,3,3,4,4,NA,1
64,1,0,3,2,2,2,0,1
22,1,1,5,3,4,3,NA,0
78,1,1,3,3,4,1,0,1
27,1,1,5,3,4,5,NA,1
63,1,0,3,1,4,2,0,1
66,1,0,3,2,4,3,0,1
37,1,1,5,4,4,3,0,1
53,1,1,3,2,4,4,NA,0
71,1,1,3,3,5,5,1,1
46,1,1,3,3,6,6,0,1
19,1,1,3,4,5,5,1,1
44,1,0,6,3,5,6,1,1
18,1,1,3,3,6,6,1,1
33,1,0,6,3,5,6,1,1
49,1,0,5,4,4,4,1,1
20,0,0,3,3,4,5,1,1
67,1,1,2,4,4,4,NA,0
47,1,1,3,4,5,1,0,1
42,1,1,5,4,5,4,1,1
43,1,0,7,4,1,1,0,1
36,1,1,3,4,4,4,NA,0
75,1,0,5,2,6,2,NA,0
71,1,1,7,5,5,7,1,1
74,1,1,5,2,6,7,1,1
27,1,1,6,3,4,3,0,1
43,1,1,5,4,6,6,NA,0
56,1,0,5,3,4,3,0,1
20,1,1,5,5,4,6,1,1
47,1,0,5,5,5,7,1,1
50,1,1,6,5,7,7,1,1
42,0,0,7,3,4,5,1,1
62,1,0,6,1,4,5,NA,0
31,1,0,6,4,2,6,1,1
60,1,1,5,4,6,6,1,1
47,1,0,5,3,4,5,1,1
18,1,1,3,3,5,6,NA,0
42,1,0,5,2,4,2,1,1
60,1,0,6,3,4,4,1,1
45,1,1,6,4,5,6,1,1
38,1,0,5,3,6,6,1,1
44,1,1,6,1,2,1,0,1
65,0,0,3,3,4,1,0,1
54,1,1,3,4,4,7,1,1
60,1,0,3,3,5,6,1,1
51,0,1,5,4,6,4,0,1
78,1,1,3,2,4,7,1,1
36,1,1,6,3,4,4,NA,1
28,1,1,6,3,4,4,NA,0
41,1,0,6,4,6,7,1,1
49,1,1,5,4,5,1,0,1
50,1,0,5,3,2,1,0,1
46,0,0,2,1,1,4,0,1
31,0,1,5,3,4,1,0,1
25,0,0,3,2,4,1,0,1
33,0,1,6,3,4,3,0,1
25,0,0,3,2,4,1,0,1
50,0,1,3,1,3,3,0,1
52,0,1,5,4,4,3,NA,0
30,0,0,3,1,4,6,NA,0
54,0,1,5,2,4,4,0,1
41,0,1,5,3,4,1,NA,1
40,0,1,5,4,4,1,NA,0
32,0,1,6,4,4,1,0,1
23,0,1,3,3,4,1,NA,0
48,0,0,3,3,4,1,0,1
48,0,0,6,3,4,1,0,1
27,0,0,3,3,6,4,0,1
18,0,0,3,4,6,1,NA,0
69,1,0,5,1,5,5,1,1
44,0,0,7,4,4,1,0,1
53,0,1,6,5,5,1,NA,0
49,0,1,5,3,4,1,0,1
72,0,1,1,1,6,1,NA,0
23,0,1,6,3,4,3,0,1
33,1,0,5,5,4,5,NA,0
36,1,1,3,2,4,5,NA,0
70,0,1,5,2,4,4,0,1
63,0,1,7,4,4,4,NA,0
28,0,0,5,4,4,2,0,1
62,1,0,3,3,6,7,1,1
59,1,1,3,1,2,4,NA,0
37,1,0,2,1,4,1,NA,0
63,1,0,3,3,5,6,1,1
34,1,1,3,4,4,4,NA,0
62,1,1,3,2,6,5,1,1
58,1,0,3,3,4,5,1,1
37,1,0,3,3,2,5,NA,0
44,1,0,5,3,6,6,1,1
49,0,0,5,1,7,1,0,1
31,0,1,3,3,4,3,NA,0
54,0,1,3,3,4,3,0,1
26,1,0,6,3,5,5,1,1
53,1,0,5,4,4,6,NA,0
34,1,1,7,3,4,3,0,1
43,1,1,3,3,6,7,1,1
25,1,1,3,3,4,3,0,1
65,1,0,3,1,6,1,NA,0
65,0,0,5,4,6,1,0,1
50,1,1,6,4,5,7,1,1
49,0,0,3,4,4,4,NA,0
47,1,0,6,5,6,7,1,1
36,1,0,5,4,4,3,NA,0
48,0,0,5,3,4,3,0,1
35,1,1,3,2,4,4,NA,0
59,1,0,3,2,4,2,1,1
33,1,1,5,3,4,5,1,1
54,1,1,2,3,3,1,NA,0
21,1,1,5,3,4,4,NA,0
62,0,0,2,1,4,3,0,1
22,0,0,3,3,2,2,0,1
38,0,0,5,2,4,1,0,1
36,0,0,3,2,4,1,0,1
37,0,1,3,1,4,2,0,1
50,0,0,5,1,4,1,0,1
67,0,1,5,1,4,2,0,1
26,0,0,1,1,4,3,NA,0
45,0,1,2,1,4,7,0,1
39,0,0,3,3,4,1,NA,0
57,0,1,5,3,5,1,NA,0
27,0,1,2,1,4,2,0,1
37,0,1,3,3,5,1,0,1
49,0,0,2,3,4,2,NA,0
56,0,0,3,1,4,1,0,1
37,0,0,5,4,4,4,0,1
58,0,1,6,3,4,1,0,1
44,0,0,7,3,4,1,0,1
21,0,0,5,4,4,1,NA,0
41,0,0,5,4,4,1,0,1
36,0,1,6,2,4,2,0,1
67,0,1,5,4,4,2,0,1
0,1,1,7,3,5,4,NA,1
68,0,1,3,3,4,1,0,1
45,0,1,6,4,2,1,0,1
39,0,0,7,4,1,1,0,1
24,0,0,5,3,3,2,0,1
44,0,1,5,4,4,2,0,1
63,0,0,5,3,4,1,0,1
25,0,1,5,3,4,3,0,1
0,0,1,3,3,4,1,NA,0
81,1,0,5,1,7,5,1,1
51,0,1,2,2,4,3,NA,0
40,0,1,2,3,4,3,NA,0
49,1,0,3,1,4,1,NA,0
57,1,0,2,2,4,1,0,1
0,1,0,5,3,4,4,NA,0
23,1,1,2,1,6,7,1,1
57,1,0,3,2,4,1,0,1
27,0,1,5,4,4,4,0,1
47,1,0,2,1,6,1,NA,1
34,1,0,6,3,3,1,0,1
73,1,1,3,2,6,1,1,1
81,1,1,2,2,3,2,NA,0
31,1,0,5,3,4,7,1,1
58,1,0,7,3,2,2,0,1
67,1,1,3,2,5,5,1,1
43,1,0,5,2,5,4,NA,0
72,1,1,3,3,6,6,NA,1
51,1,1,3,3,4,2,0,1
23,1,0,3,3,4,3,0,1
60,1,0,3,1,5,2,NA,0
73,1,1,3,1,4,4,NA,1
79,1,0,3,3,4,5,NA,0
34,1,0,3,3,4,5,1,1
41,1,1,3,3,5,6,NA,0
78,1,1,3,2,4,2,NA,0
76,1,0,2,2,4,1,0,1
30,1,1,3,2,4,3,0,1
39,1,0,2,3,4,4,NA,0
28,0,1,5,3,4,1,NA,0
73,0,1,3,2,5,1,0,1
64,0,0,5,2,4,2,0,1
48,0,1,2,2,4,3,0,1
48,0,1,6,2,2,1,NA,0
48,0,1,5,1,4,2,0,1
44,1,1,5,1,2,3,NA,0
57,0,0,5,3,4,1,0,1
24,0,1,2,1,4,2,0,1
34,1,1,3,3,4,4,NA,0
23,1,0,5,3,4,4,NA,0
33,0,0,2,2,5,1,NA,0
23,0,0,3,1,4,2,NA,0
38,1,1,3,3,4,4,0,1
52,1,0,3,2,3,1,0,1
48,1,1,3,3,4,2,NA,0
43,1,1,3,3,4,4,NA,0
70,1,1,2,2,4,4,NA,0
64,1,0,3,3,5,3,0,1
32,1,1,2,3,4,2,NA,0
82,1,0,1,2,4,3,NA,0
64,1,0,2,3,7,7,1,1
57,1,0,5,3,3,6,1,1
52,1,0,3,1,4,7,1,1
29,1,0,2,2,4,2,0,1
20,1,1,3,3,4,2,NA,0
48,1,0,3,2,4,1,NA,0
53,1,1,3,2,4,5,NA,0
61,1,1,5,3,3,3,0,1
91,1,0,5,2,4,6,1,1
52,0,1,2,3,4,4,NA,0
91,1,0,1,1,7,2,NA,0
72,1,0,5,2,3,2,NA,0
30,1,1,3,3,4,4,NA,0
49,0,1,5,3,4,4,NA,0
49,1,0,5,1,4,4,NA,0
31,1,1,3,3,4,3,NA,0
55,0,1,3,4,4,5,NA,0
60,0,1,5,2,4,6,1,1
40,1,1,2,2,4,5,1,1
45,1,1,6,1,6,5,1,1
53,1,0,5,3,4,6,1,1
57,1,0,5,3,4,6,1,1
44,1,0,6,4,5,3,0,1
54,1,0,6,3,5,5,1,1
47,1,1,6,4,6,7,1,1
82,1,0,3,3,4,2,0,1
62,1,0,7,3,6,7,NA,1
59,1,1,6,3,4,4,NA,0
32,0,1,5,3,4,3,0,1
58,1,1,3,3,4,1,0,1
49,1,0,6,5,6,7,NA,0
72,1,0,3,2,2,1,0,1
36,1,0,6,4,4,7,1,1
23,0,1,2,1,6,3,NA,0
72,0,1,2,2,4,3,0,1
80,0,0,1,1,4,1,0,1
83,0,1,1,1,4,2,0,1
77,0,0,1,2,4,2,0,1
36,0,0,3,3,4,1,0,1
33,0,0,5,3,5,1,0,1
84,0,0,1,1,4,1,0,1
55,0,1,2,2,4,1,NA,0
47,0,1,3,2,4,1,0,1
35,0,1,5,2,4,3,0,1
58,0,1,3,2,4,1,0,1
59,0,0,2,2,2,1,0,1
47,0,0,5,2,4,1,0,1
63,0,1,2,2,4,1,0,1
32,0,0,3,1,4,3,0,1
54,0,1,3,2,4,1,0,1
65,0,0,2,3,4,1,0,1
58,0,1,3,2,4,1,NA,0
41,0,0,6,3,6,1,0,1
33,0,1,1,2,5,5,NA,0
74,0,0,5,1,4,1,NA,0
30,0,0,6,2,6,1,0,1
57,0,1,3,2,1,1,0,1
41,0,1,5,3,4,1,0,1
46,0,0,2,2,7,1,0,1
47,0,1,5,3,4,1,0,1
54,0,0,5,1,4,2,NA,0
78,0,0,7,3,4,1,0,1
82,0,1,2,1,4,1,NA,0
31,0,1,3,5,5,1,0,1
31,0,0,5,2,4,4,NA,0
22,0,0,5,2,4,2,NA,0
32,0,1,3,3,4,2,0,1
50,0,0,2,1,4,5,0,1
29,0,0,5,1,4,3,0,1
45,0,1,3,2,4,1,0,1
47,0,0,3,1,4,4,NA,0
26,0,0,3,1,4,2,0,1
25,0,1,3,1,1,3,NA,0
43,0,1,6,2,2,2,0,1
18,0,0,3,1,4,3,NA,0
44,0,0,3,2,1,2,NA,0
53,0,0,2,2,4,1,0,1
38,0,1,2,3,4,3,0,1
79,0,0,3,2,4,1,0,1
55,0,0,3,3,4,3,0,1
44,0,0,5,3,4,1,0,1
53,0,1,3,1,4,1,0,1
69,0,0,3,1,4,1,0,1
35,0,1,3,2,4,5,NA,0
28,0,1,3,3,4,4,NA,0
25,0,0,2,1,4,4,NA,0
70,0,1,3,1,1,1,0,1
48,0,1,2,1,4,3,NA,0
46,0,1,2,2,4,4,NA,0
60,0,0,3,2,4,2,0,1
47,1,1,5,3,6,4,1,1
57,1,0,7,3,2,2,1,1
30,1,0,5,3,6,6,1,1
56,1,0,3,3,6,1,NA,0
46,1,1,7,4,6,6,1,1
49,1,0,3,1,4,2,0,1
47,1,1,3,3,5,5,NA,0
31,1,1,3,4,4,4,NA,0
58,1,0,3,3,6,1,0,1
31,1,0,5,3,4,4,1,1
58,1,0,3,1,1,1,0,1
0,1,0,5,4,5,3,1,1
50,1,0,3,1,5,2,NA,0
37,1,0,3,2,4,4,NA,0
32,1,1,5,4,6,7,1,1
77,1,1,6,2,6,7,1,1
0,1,1,3,1,2,3,NA,0
28,1,0,3,1,4,4,1,1
23,1,1,5,3,3,6,1,1
60,1,1,5,4,6,7,1,1
81,1,1,5,2,4,2,1,1
64,1,0,3,1,4,2,NA,1
52,1,0,3,4,5,7,NA,0
56,1,1,3,4,6,7,NA,0
59,1,1,3,1,3,1,1,1
66,1,0,2,1,3,3,NA,0
32,1,1,5,3,5,5,1,1
37,1,1,3,3,4,3,0,1
38,0,0,6,2,4,1,0,1
41,1,0,5,3,3,3,0,1
65,1,0,5,2,1,1,0,1
20,0,1,5,3,4,5,NA,0
62,1,0,3,3,4,3,0,1
40,0,1,3,2,6,3,NA,0
52,1,1,7,3,3,2,0,1
84,1,0,3,2,4,2,NA,0
26,1,0,7,5,5,6,NA,0
61,1,0,7,3,4,4,1,1
30,1,1,5,3,5,6,NA,0
41,1,0,6,3,6,7,1,1
60,1,1,6,3,1,1,0,1
60,1,0,7,3,2,3,0,1
40,1,0,6,4,4,3,0,1
58,1,0,7,4,2,1,0,1
58,1,0,7,4,5,1,0,1
46,1,0,6,3,3,2,0,1
45,1,1,7,5,6,7,NA,0
61,1,1,6,4,4,5,1,1
19,1,0,5,5,3,3,0,1
60,0,1,7,4,3,3,0,1
58,1,0,7,3,3,2,0,1
31,1,1,6,4,7,6,1,1
70,1,1,7,4,6,6,1,1
38,1,0,5,2,3,3,NA,0
58,1,0,3,3,4,6,0,1
66,1,0,6,4,6,7,1,1
49,1,0,5,3,4,4,1,1
58,1,0,3,1,4,4,1,1
62,1,0,3,3,4,4,0,1
51,1,0,5,2,5,3,0,1
34,1,0,3,3,4,2,NA,0
34,1,1,3,4,4,1,0,1
54,1,1,7,4,6,7,NA,0
47,1,1,3,1,4,1,0,1
27,0,0,3,3,4,4,0,1
35,0,0,5,3,4,1,0,1
45,0,0,2,1,4,4,0,1
39,0,0,2,1,5,4,NA,0
20,0,0,2,1,6,5,0,1
22,0,0,2,1,1,4,NA,0
48,0,1,5,3,4,2,0,1
52,0,0,5,1,4,1,0,1
80,0,0,3,3,4,3,NA,0
63,0,0,5,3,6,1,0,1
43,0,1,3,1,4,1,0,1
62,0,0,5,3,5,4,0,1
52,0,0,5,1,4,3,0,1
43,0,1,2,1,5,1,0,1
19,0,1,3,3,4,1,0,1
55,0,1,3,4,4,1,0,1
54,0,0,5,3,4,1,0,1
80,0,0,1,3,4,1,NA,0
59,0,0,5,3,4,1,0,1
50,0,0,5,3,3,2,0,1
55,0,1,2,1,4,1,NA,0
76,0,0,5,2,1,1,0,1
59,0,0,7,2,4,1,0,1
79,0,1,3,3,4,1,0,1
57,0,0,5,2,4,4,1,1
78,0,0,7,3,4,1,NA,0
56,0,1,3,2,4,1,0,1
34,0,1,3,3,4,4,0,1
75,0,0,2,2,5,1,0,1
62,0,0,2,2,4,2,0,1
82,0,0,3,1,4,1,0,1
53,0,0,3,1,7,4,0,1
73,0,1,1,3,4,1,0,1
82,0,1,2,1,4,1,0,1
42,0,1,3,1,7,4,NA,0
52,0,0,3,3,4,2,0,1
68,0,0,5,2,5,3,0,1
35,0,1,2,2,4,3,0,1
35,0,1,3,2,4,2,0,1
37,0,0,7,3,3,2,0,1
20,0,1,3,3,3,1,0,1
59,0,0,3,2,4,2,NA,0
53,0,0,5,2,4,2,0,1
40,1,0,5,1,4,4,NA,0
41,0,1,5,1,7,1,NA,0
40,0,0,3,2,5,2,0,1
45,0,0,5,1,4,4,0,1
20,0,0,3,3,4,3,NA,1
37,0,1,3,1,4,1,0,1
69,0,0,5,1,4,3,0,1
88,0,0,3,3,4,2,NA,0
51,0,1,3,2,4,5,0,1
19,0,1,3,1,4,1,0,1
23,0,0,2,3,4,2,0,1
91,0,1,2,2,4,1,0,1
43,0,0,3,2,4,2,NA,0
64,0,1,3,3,3,1,0,1
54,0,0,5,3,6,3,0,1
48,0,0,5,2,4,1,0,1
64,0,0,3,1,2,1,0,1
65,0,1,5,3,4,1,0,1
63,0,0,3,4,4,2,0,1
86,0,1,6,3,2,1,0,1
51,0,1,5,1,1,1,NA,0
55,0,0,3,2,4,1,0,1
54,0,0,5,2,4,2,0,1
26,0,0,6,1,2,1,NA,0
85,0,0,1,1,2,2,NA,0
37,0,1,3,3,5,1,0,1
83,0,0,5,3,4,1,0,1
56,0,1,5,3,2,1,0,1
61,0,0,5,3,4,1,0,1
82,0,0,2,3,4,3,0,1
40,0,0,3,2,2,1,0,1
0,0,0,3,3,7,6,NA,1
40,0,1,3,2,4,2,0,1
57,1,0,3,4,2,4,0,1
80,1,1,7,3,4,3,0,1
69,1,0,2,1,1,1,0,1
20,1,1,3,3,4,4,NA,0
24,0,1,5,3,4,6,0,1
24,1,0,5,3,4,3,0,1
23,1,0,3,4,2,5,0,1
69,1,0,3,2,4,2,1,1
32,0,0,3,4,4,2,NA,0
31,1,0,3,2,4,2,0,1
49,1,1,3,3,3,4,0,1
48,1,1,3,3,3,2,NA,0
68,1,1,3,3,4,5,NA,0
25,1,0,3,3,4,2,NA,0
87,1,1,3,3,3,1,0,1
39,1,0,3,3,4,3,NA,0
38,1,1,5,3,6,2,0,1
28,1,0,3,4,4,3,1,1
26,1,1,3,3,4,5,NA,0
27,0,1,3,3,7,1,NA,0
88,0,0,3,1,2,1,0,1
50,0,0,3,3,4,1,0,1
55,0,0,3,3,6,5,NA,0
50,1,1,5,3,4,4,NA,0
25,1,0,5,3,4,5,NA,0
36,1,0,6,3,4,3,0,1
47,1,1,5,3,3,2,0,1
34,1,0,6,2,2,1,0,1
51,0,1,5,3,3,2,0,1
45,1,1,5,3,3,3,1,1
41,0,1,5,1,4,3,NA,0
33,1,0,5,3,2,1,0,1
50,1,0,5,2,1,4,0,1
28,1,0,6,4,3,1,NA,0
39,1,1,2,3,7,5,1,1
63,1,1,5,4,4,3,1,1
37,1,0,6,4,3,3,0,1
52,1,1,6,3,4,4,NA,1
80,1,0,5,2,4,5,0,1
74,1,0,3,3,5,3,0,1
40,0,0,5,3,4,1,0,1
44,1,0,6,4,5,3,0,1
31,1,0,7,5,5,6,1,1
93,1,1,3,2,6,7,1,1
58,1,0,6,5,6,5,1,1
48,1,1,5,4,6,7,1,1
64,1,0,5,4,1,1,0,1
91,1,0,3,3,4,1,1,1
31,1,1,7,4,6,7,1,1
91,1,0,5,3,6,7,1,1
54,1,0,6,3,6,7,NA,0
36,1,1,5,4,5,7,1,1
37,1,1,6,5,5,6,1,1
20,1,0,3,1,6,7,1,1
54,1,1,5,3,6,7,1,1
30,1,1,5,5,4,1,0,1
82,1,0,3,3,4,2,1,1
59,1,1,6,3,5,5,1,1
31,0,1,6,3,4,1,0,1
60,0,0,2,1,4,2,0,1
45,0,1,6,4,4,3,0,1
46,0,1,5,3,4,2,0,1
33,0,1,3,4,4,2,NA,0
21,0,0,5,3,4,1,0,1
30,0,0,6,3,5,3,0,1
39,0,0,6,3,3,3,0,1
42,0,0,3,2,4,1,0,1
61,0,0,5,3,2,1,0,1
56,0,0,3,3,2,1,0,1
66,0,0,7,3,4,1,0,1
67,0,1,1,3,4,1,NA,0
38,0,0,6,2,4,1,0,1
41,0,0,3,2,2,1,0,1
70,0,0,3,1,4,1,0,1
28,0,1,3,1,4,1,NA,0
20,0,0,5,2,4,1,0,1
37,0,0,6,2,4,1,0,1
48,0,0,2,1,4,4,NA,0
60,0,1,5,2,5,1,0,1
88,1,1,2,2,4,2,NA,0
29,0,1,5,2,3,1,0,1
44,0,0,5,1,6,2,NA,0
25,0,1,2,1,4,1,0,1
66,0,0,2,1,4,2,0,1
19,0,0,3,1,5,7,NA,0
74,0,0,2,1,4,1,0,1
