palabra,media_agrado,media_activacion,media_imaginabilidad
pop,0.6,0.6,0.8
socialista,0.167,0.333,0.5
español,0.333,0,0.333
contexto,0,-0.4,0.2
humedad,-0.4,0,1
moda,0.2,0.4,0.6
ganadería,0.2,0,1
creencia,0.4,0.4,0.2
correspondiente,0,-0.2,-0.2
enfermo,-1,-1,0.8
turístico,0.8,0.2,1
plataforma,-0.2,0.4,0.4
clave,0,0.4,0.6
ánimo,0.4,0.4,0.6
discurso,0.2,1,1
internacional,0.4,0,0.8
hondo,0.2,-0.8,1
claramente,0.4,-0.4,0
obligación,-0.4,0.4,0.8
sal,0.2,0,1
beneficio,0.8,0.4,0.2
montañoso,0.6,-0.2,1
miar,0.2,0.4,-0.4
sesión,0,0,0.2
evidente,0,0.2,0.4
retrato,0,-0.2,1
permiso,0,0.4,0.8
destrucción,-0.6,0.6,1
galería,0,0,1
cotidiano,0.4,0.6,0.6
limpiar,0.4,1,1
autobús,-0.4,0.4,1
ruina,-0.4,-0.4,1
atribuir,-0.2,0.2,0
despues,0.2,-0.2,0.4
biografiar,0.4,0.2,0.2
sureste,0,0,0.4
danza,0.6,0.8,1
mecanismo,0.4,1,0.8
cercanía,0.8,0,0.6
ficción,0.6,0.6,0.8
escupir,-0.6,1,1
trozo,-0.2,0.2,1
niño,0.8,0.6,1
gastar,-0.4,0.8,1
instrucción,0.4,1,0.6
nacionalista,-0.2,0,1
espiritual,0.4,-1,0.8
frecuente,0.6,0.2,0.2
muralla,0.4,-0.6,1
honor,0.6,-0.4,0.2
empapar,-0.2,0.2,1
firma,0.4,0.8,1
judicial,-0.8,-0.4,0.6
derrota,-0.8,0.2,1
ira,-0.8,0.8,0.8
apoderar,-0.2,0.8,0
regular,-0.4,-0.2,0.2
establecimiento,0,-0.4,1
morder,0,1,1
rango,0,-0.2,0.4
tranquilidad,1,0.4,0.8
derramar,-0.2,1,1
compromiso,0.8,1,0.6
positivo,1,1,0.8
brigada,-0.2,-0.2,0.2
bit,0.4,0.2,0
cigarro,-1,-0.6,1
aburrir,-1,-0.6,1
empujar,-0.4,1,1
oración,0.6,0.6,1
admitir,0.8,1,0.6
rol,0.4,1,0.8
insecto,-0.8,0.6,0.8
atlántico,0.8,0.8,1
abundante,0.8,0.6,1
orquesta,1,1,1
aproximar,0.2,0.6,0.6
certeza,0.6,0.4,-0.2
mediterráneo,0.8,0.4,0.6
diablo,-0.6,0.8,1
extremo,-0.4,0.4,0.4
talento,1,1,0.667
proveniente,0.2,-0.2,0.2
empleado,-0.6,-0.2,0.8
naval,0,0.4,1
curioso,0.8,1,1
tensión,-1,0,0.8
representativo,0,0.4,0.2
noble,1,0.6,0.6
cerro,0.6,-0.8,1
conexión,0.8,0.6,0.8
sumergir,0,0.6,1
increíble,0.6,0.4,1
tibio,0.4,-0.4,1
artista,0.8,1,1
expansión,0,0.8,0.6
músico,1,1,1
cuerda,0,-0.2,1
paralelo,0,-0.2,0.8
arreglar,0.8,1,1
anotar,0,1,0.8
nuclear,-0.4,0.6,0
tembloroso,-0.8,0.4,1
paraíso,1,0.2,0.8
comunista,0,0.4,0.6
cintura,0.2,-0.4,1
liderar,0.4,1,1
muñeca,1,-0.8,1
terrestre,0.4,-0.2,1
equilibrio,0.6,0.6,1
salvaje,0.4,1,0.8
estrategia,0.6,1,0.6
castillo,0.8,-0.4,1
externo,0,-0.2,0.8
videojuego,0.6,-0.2,1
impresión,0,0.6,0.4
lista,0,-0.2,1
aguantar,-0.8,0.6,0.8
guía,0.8,0.8,0.8
listar,0,1,0.2
cultivar,1,1,1
pozo,-0.4,-0.8,1
prender,0,0.2,0.4
acomodar,0.6,0.8,0.8
apartar,0,0.8,1
circuito,0.2,0,0.6
absurdo,-0.6,-0.6,0.6
discutir,-0.8,1,1
altar,0.2,-0.4,1
feo,-0.8,-0.6,0.8
fuertemente,0.2,0.6,0.2
latín,0.2,-0.2,-0.4
inspiración,1,1,0.6
castellano,0.2,0.2,1
desvanecer,-0.4,0.4,0.4
discusión,-0.6,1,0.8
yacer,-0.2,-1,0.8
gobernador,-0.2,0.6,1
expulsar,-0.6,1,0.6
mortal,-0.6,0.6,0.4
promoción,0.8,0.4,0.2
estimar,0.4,0.8,0.4
rasgo,0.2,-0.4,0.6
cita,0.4,0.6,0.8
horrible,-1,0.2,1
fracaso,-1,-0.6,0.4
amenaza,-0.8,1,1
admirar,0.8,0.8,1
varón,0.2,0.2,0.8
principal,0.4,0.4,0.2
líneo,0.2,0.2,0.6
serpiente,-0.2,0.8,0.8
marqués,0.4,0.2,0.6
transferir,0.2,0.8,0
emprender,1,1,0.6
venganza,-1,1,1
plazo,-0.4,0,0.4
reaccionar,-0.4,1,0.6
conclusión,0.2,0.2,0.8
avance,1,1,1
complejo,0.2,0.4,0.2
rival,-1,0.8,0.4
atardecer,1,-0.4,1
barro,-0.2,-0.6,0.8
ansia,0,0,0.4
apurar,-0.6,1,0.8
étnico,0.6,0,0.6
librar,0.8,1,0.6
dinastía,-0.2,-0.4,0.2
botánico,0.8,-0.6,0.4
cobrar,-0.4,0.8,0.6
oficio,0.6,1,1
sincero,1,1,0.8
querido,1,0.6,1
responsable,0.6,1,0.8
cazar,-0.8,1,1
perfume,1,0,1
mixto,0.4,0,1
pelota,-0.2,-0.2,1
maldito,-1,0.6,0.6
anhelo,1,0.6,0.6
furia,-0.8,1,1
parado,-0.4,-0.2,1
efectuar,0.2,0.8,0.4
santo,0.6,0.4,0.8
repartir,0.4,1,1
arder,-0.4,0.2,1
inútil,-0.8,-0.8,1
inicial,0,0,0
complicar,-1,0.6,0.2
vergüenza,-0.4,-0.6,0.8
metálico,-0.2,-0.4,1
agudo,-0.2,0.6,0.4
fácilmente,1,0,0.4
suroeste,0.2,-0.2,0
vacio,-1,-0.6,0.8
violento,-1,1,1
perfectamente,0.6,0.8,1
intervenir,0.8,1,1
cansancio,-0.6,-0.4,1
pecado,-0.8,0.8,0.8
túnel,-0.4,-0.2,1
teniente,-0.4,0.8,1
ocupación,0.8,1,0.8
mario,0.6,0.4,0.6
personal,0.4,0.4,0.4
profundar,0,1,-0.4
mina,0.2,-0.4,0.8
respectivo,0.2,0.4,-0.6
lamento,-1,1,1
productor,0.8,1,0.8
timar,-0.8,1,0.6
consolar,0.6,1,1
probable,0.2,0.4,0.4
relativo,0.2,0,0.4
medieval,0.2,-0.2,0.4
significativo,0.8,1,0
bajo,0,0.2,0.8
espacial,0.6,-0.2,0.2
entraña,-1,-0.4,0.8
dulce,1,-0.2,1
sigla,0.2,-0.2,0.6
erigir,0.4,0.8,-0.2
vídeo,0.6,0.2,1
laboratorio,-0.2,0.8,1
niebla,-0.2,0.2,1
disminuir,-0.6,0.8,0
azúcar,1,0,1
cumpleaños,1,0,1
rumor,-0.4,1,1
bus,0,0.4,1
deuda,-0.8,-0.2,0.8
ejecución,0.4,0.8,0.8
funcionamiento,0.8,1,0.6
vapor,0,0.4,0.8
continente,0,-0.4,0.8
disimular,-0.2,0.4,0.6
paciente,0,-0.6,0.8
salto,0.4,0.8,0.6
instinto,0.6,0.8,0.2
mañana,0.8,0.8,0.8
infante,0.6,0.2,0.2
solar,0.6,0.2,0.4
tarjeta,0.2,0,1
software,0.2,0.6,0.2
agujero,-0.6,-0.4,0.8
crédito,0,0.4,0.8
carecer,-0.8,0,0.4
manga,0,-0.4,0.6
manifestación,0.2,1,0.8
cortina,0.2,-0.4,0.8
tropezar,-0.6,0.4,1
humilde,1,0,0.4
rozar,0.6,1,0.8
tragar,-0.2,0.6,0.8
desplazar,0,0.8,0
placa,0.2,-0.2,0.2
seleccionar,0.4,1,0.6
lecho,0.2,-0.4,0.6
totalidad,0.4,0,0
rabia,-1,0.2,0.8
creador,0.6,1,0.6
desprender,-0.2,0.6,0.4
revolucionario,0.8,1,0.2
sillón,0.8,-0.6,1
incrementar,0,0.8,0.4
saco,0.2,-0.2,1
enloquecer,-1,0.4,0.2
guerrero,-0.4,1,1
relativamente,0.2,0.2,0
sombrero,0.2,-0.4,1
rastro,0,0,1
camión,0.4,0.4,1
encargado,0.4,0.8,0.6
ducado,-0.2,0.2,-0.6
baloncesto,1,1,1
inteligente,1,0.8,0.4
aerolínea,0.6,0.2,0.6
mudar,0,1,0.8
depresión,-0.8,-0.4,0.8
referenciar,0,1,-0.4
senador,0,0.2,0.6
bola,0.2,0.2,1
recinto,0.4,0,0.8
sobrino,1,0.6,1
lastimar,-1,1,0.8
cinta,0,0,0.8
atlético,1,1,1
noroeste,0,-0.2,0.6
rocío,0.6,-0.2,0.8
dragón,0.2,0.8,1
frágil,0.2,-0.2,0.6
explosión,-0.4,1,1
aviación,0.8,0.6,1
cumbre,0.6,0.2,1
intensidad,0,0.2,-0.2
traducción,-0.2,0.4,0.2
grueso,-0.167,0.167,1
nido,0.833,0.667,1
empresario,0.167,0.833,0.667
resolución,0.333,0.5,0.333
popularidad,0.333,0.5,0.5
conferencia,0.333,0.833,0.833
norma,0.167,-0.167,0.167
interminable,0,0.333,0.667
mandato,0,0.333,0.333
temprano,0.5,0.5,0.833
componente,0,0.167,0.167
duración,0,0.167,-0.333
marchito,-0.333,-0.667,1
incendio,-0.833,1,1
distante,-0.6,0,0.6
demanda,-0.4,0.8,0.2
adaptación,0.4,0.4,-0.2
vereda,0,-0.4,0.8
centímetro,0,0,1
jazz,0.4,0.4,0.8
costo,0,-0.2,0.4
fuerte,0.8,0.6,1
visible,0.2,0.8,0.4
cena,0.8,0.6,1
tubo,0,-0.2,0.8
billete,0.6,0,0.8
sinopsis,0.6,0.6,0.4
artificial,-0.6,-0.4,0.8
cómic,0.6,0.6,1
suavemente,0.8,0.8,0.8
ingeniería,0,0.4,0
pasaje,0.6,0.2,1
combinación,0,0.4,0
turno,-0.4,-0.4,0.2
seno,0.4,-0.6,0.8
hierba,1,0,1
circular,0.2,0.4,0.2
incapaz,-0.8,-0.8,0
orar,-0.2,0.6,0.6
socio,0,0.6,0.4
aportar,0.4,1,0.4
democracia,1,0.8,-0.2
guitarrista,0.8,0.8,1
escritura,0.6,0.8,0.8
ampliar,0.8,0.6,0.4
sed,-0.6,0,0.2
alegrar,0.6,0.8,0.4
emisión,0.2,0.6,-0.2
tráfico,-0.6,0.2,1
convocar,0.4,0.8,0.6
espectador,0.2,-0.6,1
caro,-1,-0.4,0.6
desgracia,-0.8,-0.2,0.8
transmisión,0,0.6,-0.2
líquido,0.4,0.4,1
confusión,0,0.2,0.2
fachada,-0.2,-0.2,0.2
matemático,0.2,0.2,0.6
digital,0.2,0.2,0.4
campana,0.2,0.6,1
extraordinario,0.8,0.6,0.6
piloto,0.2,0.4,0
aeronave,0.2,0.4,0.6
pasajero,0.6,0.2,0.8
fugaz,0.6,0.2,0.4
apellido,0,-0.4,1
sujeto,0.4,0.4,0.8
mismo,0.2,0,0
chocolate,1,-0.2,1
vengar,-0.6,0.6,0.8
chocar,-0.6,1,1
tiro,-0.4,0.6,0.8
web,0.6,0.4,0.6
quieto,0,-1,0.4
vomitar,-1,1,1
quizas,0,-0.2,-0.2
amado,1,0.2,0.4
disparo,-0.4,0.6,1
alcance,0,0,0
presidencial,0,-0.4,0.6
era,0.4,-0.4,-0.4
sábana,0.8,-0.4,1
frecuentemente,0.2,0.4,0
intelectual,0.6,-0.2,1
ceniza,-0.2,-0.4,1
territorial,-0.2,0.4,-0.2
percatar,0.2,0.8,0
music,0.6,0.4,0.6
colonial,0.4,0.2,1
proclamar,0.4,1,0.4
acumular,0,1,0.8
enfrentamiento,-0.6,0.8,0.8
natural,0.8,-0.2,0.8
mando,0.2,0.6,0.8
paloma,0.6,0.4,1
vas,0.4,0.8,0.2
pétalo,1,-0.4,1
acelerar,0.4,1,0.6
funcionario,-0.2,0.2,0.2
almohada,0.8,-0.2,1
particularmente,0.2,0.4,-0.6
vital,0.8,0.6,0.2
liberación,1,1,0.4
profundo,0.4,0.6,0.6
sustancia,0,-0.6,0
cáncer,-0.8,-0.2,0.6
nervio,-0.4,-0.4,0.4
reina,0.6,0.2,1
manzana,1,-0.4,1
encanto,0.6,-0.2,0.2
doblar,0.2,0.8,0.8
etimología,0.2,0.4,-0.2
américa,0.4,0,1
informe,-0.2,-0.2,-0.6
consumo,-0.4,0.8,0.4
armonía,1,-0.4,0.6
sediento,-0.6,0.4,1
voltear,0.2,1,0.8
gordo,-0.2,-0.2,1
barrera,-0.2,-0.4,1
aceite,0,-0.4,1
impregnar,0.6,0.8,0.6
observación,0.8,0.4,0.6
parlamento,0.6,0.4,0.8
delito,-0.4,0.8,1
tapar,0,0.8,0.8
paquete,0.2,-0.2,1
consciente,0.4,0.4,0
fusionar,0.6,1,0.4
deje,0.2,-0.2,-0.4
trago,0.2,-0.2,1
feria,0.6,-0.2,1
sorbo,0.2,0,1
empleo,0.8,1,0.6
debe,-0.2,0,-0.6
conservación,0,0.4,0.2
helar,0.2,0.6,0.8
uña,-0.4,-1,1
cristiano,-0.2,0,0.8
hada,0.8,0.4,1
aislar,0,0.6,0.6
ahi,-0.2,0.2,0.4
inocencia,0.6,-0.4,0.4
destrozar,-0.2,1,0.8
verso,0.4,-0.2,0.2
microsoft,0,0.2,0.8
culto,-0.6,0.6,0.8
archivo,0.2,-0.4,0.6
ejemplar,0.8,0,0.4
misa,-0.4,-0.6,0.8
procedimiento,0,-0.2,0.2
fusión,0.4,0.8,0.2
manto,0.6,-0.4,1
navegar,1,0.6,1
educativo,0.2,0,1
curar,0.8,0.8,1
plano,0.2,-0.6,1
suspender,0,0,-0.4
castigo,-1,0.8,1
boda,0.6,0.4,1
picar,-0.2,0.8,0.6
llamada,0,0.8,1
toclop,0,0,-1
esfumar,0.2,0.8,0.6
argumentar,0.4,1,0.6
índice,0.2,0.2,0.6
calcular,0.4,0.6,1
escalofrío,-0.4,0.6,0.8
tonto,-0.4,0.4,0.8
pulmón,0,0.2,1
primero,0.8,0.4,0.2
tela,0.6,-0.4,1
lleno,0.2,0,0.8
realista,0.6,0.6,0.4
palma,0.2,0,1
colonia,0,-0.2,0.4
falda,-0.2,-0.4,1
entrevista,-0.2,0.6,0.6
montón,0.4,0,0.6
sacrificio,0,0.4,0.4
práctica,0.6,1,0.6
perciforme,0.4,-0.4,0
agrupación,0.4,0.4,1
asistencia,0.6,0.6,0.6
navidad,1,-0.8,0.8
penumbra,-0.2,-0.6,0.2
extraer,0,1,0.8
separación,-0.4,0.8,0.4
conducta,0,0.4,-0.2
digno,1,0.4,0
templar,0.6,0.8,0.4
tronco,0.2,-0.2,1
grita,-0.2,0.4,0.4
estómago,0,-0.2,0.6
atmósfera,0.4,0,-0.2
escritorio,0.2,-0.4,1
paciente,0.4,-0.2,1
añorar,-0.4,0.2,0.4
fundir,-0.2,0.6,0.8
rico,0.6,0.2,1
adornar,0.8,0.8,1
pasajero,0.2,-0.2,0.2
lateral,0,-0.2,-0.4
programación,0.6,0.6,0.6
maria,-0.2,-0.2,0
dictadura,-0.8,0.8,0.4
global,0,-0.2,0.8
proteína,0.2,0.6,-0.8
ansiedad,-1,0.8,0.6
explotación,-0.6,1,1
exterior,0.4,-0.2,1
vegetación,0.8,-0.2,1
miseria,-0.8,-0.2,0.8
culpable,-0.6,0.6,0
claridad,0.8,-0.2,1
secreto,-0.2,0.2,0.6
naranja,0.8,0.2,1
teatral,0.2,0.8,0.8
caza,-0.4,0.8,1
gigante,-0.2,-0.2,1
examen,-0.4,0,1
plantear,0,0.8,0.6
asignar,0,0.8,-0.2
amanecer,1,0.4,1
fallar,-1,0.6,0.8
corriente,0.2,0.2,0.4
sera,0.2,-0.2,0.8
deshacer,-0.2,0.8,0.4
celo,-0.4,0.2,0.4
jurídico,-0.2,-0.4,0.2
primitivo,-0.2,-0.4,0.4
rescatar,0.6,1,1
sollozo,-1,0.2,1
gobernación,0,0.2,-0.2
agotar,-0.4,-0.2,0.2
bala,-0.4,0.6,1
partícula,0.4,0.4,-0.6
mudo,-0.6,-1,1
regimiento,0.2,0.4,0.8
revisar,-0.2,0.2,0.2
volcán,0,0.4,1
transformación,0.2,0.8,0
pastor,0.6,0,0.6
dañar,-1,1,0.4
agonía,-0.8,0.6,0.2
lástima,-0.4,-0.2,0.2
diámetro,0,-0.2,0.8
hermanar,1,0.4,-0.4
espina,-0.6,-0.2,1
computador,0.6,0.6,0.6
esfera,0.2,0,1
bandera,0.4,-0.4,0.8
castigar,-1,1,1
influir,0.4,0.8,0.6
super,0.6,0.6,0.4
prolongar,-0.2,0.6,0
desnudar,0.6,1,1
masivo,-0.2,0.2,0.8
ligeramente,0.2,0.2,0
hueco,-0.2,0,0.6
analizar,0,1,0.4
alrededor,0.2,-0.4,0.4
defecto,-0.4,-0.2,1
realización,0.8,0.8,0.4
penar,-0.8,0.4,0.8
tragedia,-1,0.2,0.6
compra,0.4,1,1
gigante,0,0.4,1
residencia,0.6,0,0.8
diálogo,1,1,1
datar,0,0.8,0.4
rebelión,-0.4,1,1
investigador,0.4,0.6,1
afuera,0.2,-0.2,0.8
dvd,0.2,-0.2,1
film,0.8,0.2,1
caos,-0.4,0,0.4
administrativo,-0.2,-1,0
inversión,0.2,0.8,0.6
señorito,0.2,0.2,1
guiar,0.4,1,1
correo,0,0,0.8
bebé,0.6,0.4,1
enojar,-0.6,0.8,0.4
juzgar,0,0.6,0.4
juvenil,0.6,-0.2,0.6
constantemente,0,-0.2,-0.4
poblado,0,0,0.8
antigüedad,0,-0.6,0.4
nadar,0.8,1,1
respectar,0,0.2,-1
resignar,-0.4,0,-0.4
inmóvil,0,-1,0.4
masculino,0.2,-0.4,0.4
anhelar,0.2,0.4,-0.2
músculo,0.2,0.2,0.8
influenciar,-0.2,0.8,0.2
top,0.2,-0.4,0.4
vecino,0.4,0,0.6
infantería,0,0.6,0.6
remedio,0,0,1
esencial,0.2,-0.2,-0.4
quinto,0,0.2,0
narrar,0.6,1,1
luminoso,0.8,0,0.8
trasero,-0.2,-0.4,0.4
tornar,0,1,-0.2
platicar,0.4,0.8,1
cinematográfico,0.8,0.4,0.6
anoche,0.6,-0.2,0.6
experimento,0.2,0.6,0.6
forestal,0.8,0.2,0.8
fragmento,0.4,-0.4,0.2
alternativa,0.6,0.4,-0.4
queso,0.8,-0.2,1
inmensidad,0.6,-0.2,-0.6
gloria,0.8,0.2,0
sentencia,-0.2,0,0.2
exclusivamente,0.2,0,-0.6
estrecho,0,-0.2,0.6
adicional,0.2,0,-0.2
útil,1,0.8,0.2
adorar,0.4,0.8,0.6
variación,0.4,0.4,0
aparentemente,0.2,-0.2,-0.2
entrenamiento,0.2,0.6,0.8
marítimo,0.4,0.2,0.6
inevitable,0.2,0,0.2
llanura,0.6,-0.8,1
estan,0,0.2,0.4
mariano,0.2,-0.2,-0.2
prisionero,-0.8,-0.4,1
absolutamente,0.2,-0.2,-0.4
sabiduría,1,0,0.4
concilio,0.6,0.2,0.2
ejecutivo,0.2,0.4,0.6
subespecie,0,-0.4,-0.6
iniciativa,0.8,0.8,0.8
suspirar,0.6,0.6,1
veneno,-0.6,-0.2,1
largar,-0.2,0.8,1
influyente,-0.2,1,0.4
sutil,0.6,-0.4,0
exclamar,0,1,0.8
ardiente,0.2,0.2,0.8
estrecho,0,-0.4,0.8
euro,0.2,-0.2,0.8
objetivo,0.6,0.4,0.8
facilitar,0.4,0.8,0.2
sedar,0,0.4,1
profesión,0.2,0.2,0.6
septentrional,0.2,-0.4,0.2
investigar,0.8,1,1
campamento,0.8,0.2,1
horror,-0.4,0,1
subtropical,0.4,-0.6,0.6
cerdo,0.2,0.2,1
postura,0,-0.2,1
barra,-0.2,-0.2,0.8
perspectiva,0.6,0.2,0.2
esclavo,-0.8,0,1
absorber,0.2,0.8,1
responsable,0.8,0.6,0.6
chico,0.4,0,1
ansioso,0,0.2,0.8
cero,-0.4,-0.2,1
deja,0,0.2,0.2
enamorado,1,0.6,1
sinfónico,0.8,0,0.4
caballería,0.8,0.6,1
amoroso,1,0.8,1
sabana,0.4,-0.4,0.8
contraer,-0.2,0.6,0.4
visual,0.4,-0.4,-0.2
vincular,0.6,0.6,0
terremoto,-1,0.8,0.8
licenciar,0.4,0.4,-0.4
republicano,0.2,0.2,0
giro,0,0.2,0.2
elegante,1,0,1
aguar,-0.4,0.2,0
melancolía,-1,-0.4,0.6
comparación,-0.2,0.8,0.4
miembro,0.2,0,0.6
ángulo,-0.2,-0.6,1
atracción,1,0.8,0.6
reojo,-0.2,0.4,0.8
significado,0.4,0.2,0.8
congelar,-0.6,0,1
pistola,-1,0.6,1
amable,1,1,1
comedia,1,0.4,0.8
central,-0.2,-0.4,0.6
doloroso,-1,1,1
facilidad,1,-0.6,1
sublime,1,-0.2,0.2
prado,0.8,-0.8,1
tejer,0.4,1,1
flujo,0.2,0.4,0.8
enfermero,-0.2,0.8,1
paciencia,0.8,0,1
térmico,0.6,0.8,0.8
civilización,0.6,0.6,1
introducción,0,0.2,0.6
pionero,0.8,1,0.4
ramal,0,0,0.6
peña,0.4,0.2,1
angel,1,0.4,0.8
rubio,0.2,0,1
cajón,0,-0.2,1
restauración,0.6,1,0.8
lógica,0.4,0.6,0.6
that,0,0.2,0.4
sien,0,0.2,1
contento,1,0.4,1
administrativo,-0.2,0.4,0.2
taxi,0,0.8,1
petición,0,0.8,0
